date,AAPL,Return,42d,252d,Mov_Vol
2008-02-21,121.54,-0.01858547138387684,155.00261904761905,136.35190476190476,0.019487998602859696
2008-02-22,119.46,-0.017261839403049345,153.38952380952384,136.47075396825394,0.018182058861330515
2008-02-25,119.74,0.002341138193045977,151.6235714285714,136.5924603174603,0.018639957253727704
2008-02-26,119.15,-0.004939521952454796,149.72714285714287,136.7140476190476,0.018726102633606426
2008-02-27,122.96,0.03147589568558909,147.91785714285712,136.86892857142854,0.02405592566080004
2008-02-28,129.91,0.05498280377730118,146.28309523809526,137.0486904761905,0.02701119579140748
2008-02-29,125.02,-0.0383681785039752,144.50190476190477,137.19932539682537,0.02279605713924186
2008-03-03,121.73,-0.026668247082161294,142.68404761904762,137.34345238095239,0.02232146599100111
2008-03-04,124.62,0.023463629694571057,141.01214285714286,137.49543650793652,0.02313191623053194
2008-03-05,124.49,-0.0010437157223814287,139.33499999999998,137.63948412698414,0.02171606303610428
2008-03-06,120.93,-0.029013525596510333,137.92738095238096,137.77126984126986,0.020225001300815684
2008-03-07,122.25,0.0108562625577973,136.60857142857145,137.90718253968254,0.020708126301844355
2008-03-10,119.69,-0.021163061469702333,135.38095238095238,138.03305555555553,0.019396457654769796
2008-03-11,127.35,0.06203413454018684,134.14166666666668,138.18178571428572,0.021958162274324837
2008-03-12,126.03,-0.01041922757606557,132.9038095238095,138.3311111111111,0.02234072433557006
2008-03-13,127.94,0.015041430172591162,131.83833333333334,138.48166666666668,0.022158276442479242
2008-03-14,126.61,-0.010449908489829764,130.5961904761905,138.6286507936508,0.021801687079563974
2008-03-17,126.73,0.0009473435618110235,129.58880952380952,138.77603174603175,0.021847299796854
2008-03-18,132.82,0.04693598901859476,128.9502380952381,138.94146825396825,0.023730358936176404
2008-03-19,129.67,-0.02400206655177471,128.20690476190475,139.09301587301584,0.021976894990547082
2008-03-20,133.27,0.027384384030842927,127.53809523809525,139.2493650793651,0.022077301683462443
2008-03-24,139.53,0.04590248631247965,127.15452380952381,139.43019841269842,0.024908518452445395
2008-03-25,140.98,0.010338404441614034,127.20000000000002,139.61853174603172,0.025855461009344573
2008-03-26,145.06,0.028529413589536833,127.42523809523809,139.81380952380954,0.026102414256317166
2008-03-27,140.25,-0.033720905532460634,127.6690476190476,139.99154761904762,0.02423503368187272
2008-03-28,143.01,0.019488013482038165,127.97857142857144,140.1890476190476,0.026944945148376767
2008-03-31,143.5,0.003420477314831979,128.26333333333335,140.38646825396825,0.026816791672045103
2008-04-01,149.53,0.04116200639607653,128.67642857142857,140.6111507936508,0.029976725133641653
2008-04-02,147.49,-0.013736664724341301,128.9652380952381,140.82480158730158,0.028611655353613943
2008-04-03,151.61,0.0275510572220793,129.3904761904762,141.05142857142857,0.029778031770969503
2008-04-04,153.08,0.009649226464011135,129.9007142857143,141.28480158730162,0.030539381707444708
2008-04-07,155.89,0.018189969767087845,130.53238095238098,141.5276984126984,0.031411861701529424
2008-04-08,152.84,-0.01975900774589021,131.26666666666665,141.76257936507935,0.030856212854683516
2008-04-09,151.44,-0.009202115677631875,131.98571428571427,141.9895238095238,0.02987422883055755
2008-04-10,154.55,0.02032816167705806,132.67785714285714,142.23539682539683,0.03227416739028388
2008-04-11,147.14,-0.04913315407400711,133.0990476190476,142.4534523809524,0.029451801191491607
2008-04-14,147.78,0.004340166856383198,133.6447619047619,142.68178571428572,0.031071948671565274
2008-04-15,148.38,0.004051869400878319,134.09666666666666,142.9077777777778,0.03050191556553946
2008-04-16,153.7,0.03522609978317021,134.7214285714286,143.15916666666664,0.03346948692698088
2008-04-17,154.49,0.005126718779408193,135.43238095238095,143.41349206349207,0.03375758835714858
2008-04-18,161.04,0.041523412007577684,136.35761904761907,143.6943253968254,0.036463971475116805
2008-04-21,168.16,0.04326312579710488,137.41333333333333,144.0006349206349,0.03870268801186353
2008-04-22,160.2,-0.04849287249438215,138.33380952380952,144.2652777777778,0.033913155400981464
2008-04-23,162.89,0.01665209173525483,139.36785714285713,144.54166666666666,0.0351442902606917
2008-04-24,168.94,0.03646849592983698,140.5392857142857,144.83369047619047,0.03603193844289464
2008-04-25,169.73,0.004665316874089317,141.74357142857144,145.115,0.03406131154452447
2008-04-28,172.24,0.014679913882667681,142.91690476190476,145.4019841269841,0.034301472009204276
2008-04-29,175.05,0.016182794344567035,143.99166666666667,145.70059523809525,0.03539659111404788
2008-04-30,173.95,-0.006303745802723719,145.15666666666667,145.9961507936508,0.03520813464819658
2008-05-01,180.0,0.03418894929225945,146.54404761904763,146.3120634920635,0.036781880427493724
2008-05-02,180.94,0.005208633707385206,147.885,146.63166666666666,0.03710371888675136
2008-05-05,184.73,0.020729814972950424,149.3192857142857,146.96468253968254,0.03815285157829093
2008-05-06,186.66,0.01039348056705459,150.8842857142857,147.2930158730159,0.03689357885640916
2008-05-07,182.59,-0.022045577988959016,152.32095238095238,147.60067460317458,0.03481755726066505
2008-05-08,185.06,0.013436894672242647,153.87738095238097,147.91091269841272,0.03458207282097463
2008-05-09,183.45,-0.008737946019593197,155.21309523809524,148.2129365079365,0.033761096001432685
2008-05-12,188.16,0.025350513908971157,156.69238095238094,148.52809523809523,0.03454172926856648
2008-05-13,189.96,0.009520858970659036,158.16904761904763,148.8479365079365,0.034783335389841
2008-05-14,186.26,-0.01966997658740941,159.58928571428572,149.16039682539682,0.03461314674718864
2008-05-15,189.73,0.018458461782530418,161.08928571428572,149.48734126984127,0.03588146775456414
2008-05-16,187.62,-0.011183368178237257,162.39404761904763,149.79757936507937,0.03395646601208501
2008-05-19,183.6,-0.021659162511414917,163.67809523809524,150.0895634920635,0.03225909836382304
2008-05-20,185.9,0.012449416541008273,164.93119047619047,150.38289682539684,0.03193098110965254
